id,name,brand,price,created
59,hybrid,"Toy, Bahringer and Vandervort",9198,2020-12-28T12:05:11Z
60,Integrated,Spencer-Wehner,4027,2016-08-17T10:41:46Z
61,Digitized,"Beier, Schiller and Dare",4644,2008-09-25T17:39:29Z
62,impactful,Padberg-Reichert,3413,2013-11-18T10:02:31Z
63,parallelism,Glover and Sons,4110,2002-04-29T06:26:59Z
64,Synchronised,Lemke Group,3994,2008-06-10T05:26:13Z
65,neural-net,Hansen Inc,7402,2006-12-11T22:02:13Z
66,Persistent,"Connelly, Stamm and Weimann",4613,2007-01-22T02:14:16Z
67,coherent,Pacocha-McDermott,811,2010-02-22T20:11:54Z
68,Quality-focused,VonRueden-Lesch,9594,2009-10-12T09:34:54Z
69,modular,Windler-Kassulke,7101,2012-07-25T05:20:02Z
70,Cloned,Haag-Bergstrom,2569,2020-11-09T11:35:42Z
71,moratorium,"Schumm, Koch and Fay",1502,2017-03-08T23:24:29Z
72,Stand-alone,Buckridge LLC,2933,2011-12-02T10:00:55Z
73,grid-enabled,"Konopelski, Boyle and Smith",6676,2014-01-13T14:54:50Z
74,Right-sized,"Wiza, Haag and Hand",7706,2019-05-06T09:00:09Z
75,Enterprise-wide,"Hegmann, Gottlieb and Aufderhar",7053,2015-07-20T06:56:58Z
76,emulation,Paucek Inc,1736,1999-06-24T13:11:51Z
77,Business-focused,Roob-Zulauf,5755,2020-06-02T10:34:41Z
78,archive,Keebler-O'Reilly,8575,2012-05-19T07:51:29Z
79,User-centric,"Marquardt, Kunze and Hackett",5744,2014-09-05T17:24:44Z
80,Persevering,Effertz-Aufderhar,9451,2002-01-10T08:11:50Z
81,homogeneous,"Corwin, Schroeder and Hoeger",1769,2007-06-05T10:56:19Z
82,Graphical User Interface,Connelly Inc,5524,2015-04-13T18:50:28Z
83,Organized,Harris Group,8607,2010-07-29T06:51:25Z
84,optimizing,Luettgen Group,8374,2008-08-20T06:05:50Z
85,application,Little Inc,5264,2008-09-01T00:39:53Z
86,workforce,Hackett Group,1506,2016-12-24T09:30:11Z
87,User-centric,"Grady, Gerhold and Weissnat",5911,1999-11-07T10:02:32Z
88,next generation,Steuber Group,2853,2016-01-20T15:42:19Z
89,next generation,Hansen LLC,9909,2000-02-02T15:06:24Z
90,open architecture,Crooks-Schroeder,113,2009-12-14T03:11:25Z
91,application,"Quitzon, Swaniawski and Rippin",2585,2005-05-05T15:20:25Z
92,Organized,Wolff Inc,105,2014-07-07T13:58:00Z
93,responsive,Leannon-MacGyver,7845,2017-03-27T18:22:08Z
94,Decentralized,Emmerich-Koch,6739,2016-08-18T15:43:29Z
95,high-level,Marquardt Group,5699,2016-05-01T21:56:32Z
96,help-desk,Hilll-Sauer,1772,2000-12-27T00:57:16Z
97,application,"Turcotte, Maggio and Heaney",2161,2019-09-07T07:47:25Z
98,Seamless,Steuber Group,7030,1999-12-05T17:01:12Z
99,explicit,Kerluke and Sons,4405,2006-01-31T14:06:14Z
100,actuating,"Rippin, Mraz and Strosin",6467,2005-04-09T09:20:14Z
101,analyzing,Wolf-Runolfsson,8524,2010-11-30T18:10:40Z
102,methodology,Abbott-Farrell,3430,2019-05-12T23:59:16Z
103,logistical,Sanford-Wuckert,1091,2007-03-19T14:19:34Z
104,emulation,"VonRueden, Borer and Greenfelder",3347,2020-09-30T12:25:59Z
105,ability,Gottlieb-Kling,6823,2008-06-22T18:19:44Z
106,architecture,"Deckow, Bergnaum and Legros",1250,2001-08-12T20:32:51Z
107,algorithm,Connelly Group,3556,2017-10-14T16:25:03Z
108,Fundamental,"Daniel, Cronin and Christiansen",7508,2007-03-21T06:39:20Z
109,Upgradable,Bosco Group,7418,2012-02-27T03:34:40Z
110,parallelism,Gusikowski-Botsford,8160,2018-09-27T18:55:40Z
111,task-force,"Rohan, Heaney and West",7382,2018-02-17T15:17:28Z
112,Integrated,"Hudson, Prohaska and Marvin",1901,2018-04-18T03:12:29Z
113,Ameliorated,Conn-Waters,5174,2018-04-29T22:48:29Z
114,asymmetric,Herman Inc,5438,2011-07-21T23:08:47Z
115,installation,"Jones, Goldner and Champlin",3188,2001-12-15T12:42:51Z
116,transitional,Cummings Inc,8083,2005-06-10T23:58:16Z
117,throughput,"Moore, Heller and Russel",7332,2019-04-19T00:57:25Z
118,focus group,Hickle Inc,3035,2012-06-30T17:52:03Z
119,Monitored,"Brekke, Collier and Stracke",539,2017-09-02T11:33:33Z
120,high-level,Hagenes Group,672,2001-10-11T06:44:39Z
121,Virtual,Jacobs and Sons,4616,2003-04-04T04:38:31Z
122,regional,Harber-Eichmann,3421,2013-02-11T21:28:34Z
123,leading edge,Collins-Yost,4490,2014-01-26T23:23:49Z
124,Customizable,"Hettinger, Brakus and Schroeder",3931,2005-04-26T20:00:11Z
125,matrix,"Senger, Kuhic and Lakin",2564,2003-09-10T21:57:18Z
126,intangible,"Anderson, Altenwerth and Daugherty",3146,2013-01-24T17:47:13Z
127,Secured,"Rice, Goyette and Boyer",5731,2020-01-30T03:26:56Z
128,access,O'Reilly-Hayes,8608,2020-09-28T15:43:33Z
129,attitude,Willms Inc,7364,2020-08-14T11:44:46Z
130,core,"Jakubowski, Considine and Lesch",5425,2021-02-22T22:13:35Z
131,array,Kerluke and Sons,4512,2014-01-16T05:44:01Z
132,mobile,Heller Group,1059,2016-10-01T17:50:32Z
133,Sharable,Shanahan-Keeling,9419,2010-05-04T21:16:37Z
134,Optimized,Bruen-Pacocha,1571,2019-11-25T12:45:55Z
135,responsive,"Labadie, Block and Gerlach",243,2015-03-04T08:30:37Z
136,zero defect,Keebler-Hilll,2717,2012-09-15T03:19:17Z
137,superstructure,Wintheiser LLC,9470,2015-09-28T11:24:25Z
138,capacity,Parisian-Batz,5760,1999-07-08T05:09:28Z
139,Ameliorated,"Erdman, Schumm and Murphy",4868,2015-02-12T11:55:22Z
140,modular,Langosh and Sons,9171,2017-04-25T20:09:24Z
141,24/7,"Rippin, O'Kon and Jacobi",841,2006-02-16T07:19:35Z
142,empowering,"Metz, Keebler and Heathcote",3728,2006-07-21T08:18:48Z
143,Optional,Sipes-Wisoky,1384,2006-03-27T02:50:49Z
144,archive,Walsh-Reichert,2602,2013-12-19T12:02:53Z
145,bifurcated,"Feil, Mayert and Schiller",4099,2000-02-27T20:36:15Z
146,modular,Ullrich Inc,4808,2003-11-03T16:04:28Z
147,Multi-tiered,"Fahey, Goldner and Quigley",1556,2009-03-21T13:59:41Z
148,global,Watsica Inc,2228,2015-11-10T16:17:33Z
149,stable,Goldner-Rath,806,2004-03-16T16:11:49Z
150,flexibility,Kilback-Braun,6274,2009-08-04T15:49:05Z
151,Networked,Dickens LLC,8247,2017-09-16T11:07:24Z
152,collaboration,Lowe-Langworth,9428,2004-03-07T04:52:54Z
153,time-frame,"Shields, Wintheiser and Leffler",6271,2002-06-23T00:59:17Z
154,User-centric,Jaskolski-Abshire,5214,2000-07-04T04:41:00Z
155,hub,"Kiehn, Harber and Ziemann",8439,2002-02-18T00:45:27Z
156,next generation,"Turner, Rogahn and Towne",5178,2013-03-12T03:18:47Z
157,Business-focused,"Turner, Lesch and Okuneva",157,2000-05-29T09:50:02Z
158,optimal,Schowalter-Greenfelder,6514,2015-09-15T06:37:10Z
159,5th generation,Reynolds and Sons,5773,2018-05-31T03:19:36Z
160,interface,Klocko Group,9008,2019-04-22T04:08:22Z
161,demand-driven,Kertzmann-Collier,9836,1999-11-25T16:15:05Z
162,Operative,Sauer-Dietrich,7117,2005-11-28T15:50:55Z
163,stable,Hahn-Yundt,4510,2013-08-16T22:25:46Z
164,zero administration,"Kertzmann, Ledner and O'Conner",1227,2011-05-02T20:27:18Z
165,national,Purdy LLC,1034,2002-10-12T01:07:57Z
166,groupware,Bins-Denesik,3708,2019-03-21T14:59:52Z
167,fresh-thinking,Hammes-Ortiz,376,1999-07-22T19:48:39Z
168,didactic,Kutch LLC,119,2003-09-10T14:54:11Z
169,intermediate,"Abernathy, Fay and Baumbach",4565,2019-06-18T15:16:05Z
170,intranet,"Gleichner, Lueilwitz and Schowalter",8151,2010-11-08T00:25:25Z
171,protocol,Barton-Boyer,4665,2001-12-27T07:37:28Z
172,discrete,"Bogan, Schowalter and Von",286,2016-05-10T13:39:46Z
173,optimizing,Kuhn Group,9466,2020-08-18T00:07:02Z
174,firmware,Lowe Inc,7589,2007-05-30T22:37:55Z
175,Up-sized,"Crist, Mante and Kemmer",9532,2014-05-27T15:42:24Z
176,implementation,Willms Group,1838,2021-03-06T09:52:56Z
177,content-based,Jacobi-Torp,3991,2007-04-23T20:41:43Z
178,Fully-configurable,"Balistreri, Turner and Kreiger",8327,2012-07-30T03:57:28Z
179,background,"Adams, Konopelski and Gulgowski",4912,2004-08-08T15:11:39Z
180,moratorium,Daugherty-Stanton,6569,2013-11-24T11:27:49Z
181,capacity,West Inc,1051,2001-12-22T11:39:41Z
182,Up-sized,Kunze-Gibson,7340,2001-07-16T14:05:15Z
183,Expanded,"Kunde, Hessel and Lueilwitz",4064,2010-03-07T02:43:41Z
184,open system,Nienow Inc,3387,2011-11-11T08:53:19Z
185,3rd generation,"Rath, Leuschke and Murazik",9948,2015-11-07T23:21:47Z
186,info-mediaries,Bruen-Kessler,9639,2004-02-14T20:53:50Z
187,paradigm,Funk-Satterfield,3250,2007-02-19T00:04:41Z
188,cohesive,Kirlin Group,2172,2007-12-04T02:43:07Z
189,initiative,Waters-Torp,2880,2018-09-12T16:31:08Z
190,De-engineered,"Koelpin, Prosacco and Berge",1876,2007-03-07T07:26:40Z
191,context-sensitive,Connelly-Trantow,7934,2021-03-04T06:16:05Z
192,strategy,MacGyver and Sons,6555,2006-06-05T12:39:49Z
193,firmware,Luettgen and Sons,2672,2016-02-21T19:14:08Z
194,parallelism,Robel-Boyle,4027,2009-06-17T08:29:06Z
195,Diverse,Stanton-Auer,7037,2019-10-20T03:35:01Z
196,Assimilated,Stanton Group,8159,2020-12-21T15:07:30Z
197,methodical,"Glover, Grady and Quitzon",3341,2018-01-05T14:15:26Z
198,Operative,Smith and Sons,2073,1999-09-12T21:34:43Z
199,cohesive,Towne Group,3011,2019-10-12T13:59:45Z
200,dedicated,"Williamson, Grant and Purdy",3454,2010-01-28T12:19:17Z
201,3rd generation,"Runolfsson, Miller and Hamill",4535,2007-06-06T22:51:59Z
202,Digitized,"Schmitt, Von and Beier",5701,2010-04-26T12:07:34Z
203,Decentralized,Wunsch-King,4992,2014-02-07T09:11:15Z
204,system-worthy,"Emmerich, Hyatt and Murphy",9959,2009-08-14T15:33:08Z
205,knowledge base,"Johns, Blick and Nienow",1099,2004-10-19T16:13:12Z
206,attitude,"McCullough, Lockman and Hermiston",8534,2019-08-22T10:38:24Z
207,monitoring,Fritsch-Stroman,4750,2000-10-31T16:38:56Z
208,instruction set,Pagac LLC,1792,2020-11-14T04:49:30Z
209,solution,"Waters, Marquardt and Roberts",5585,2013-04-03T14:44:11Z
210,Persevering,Hills LLC,5322,2017-11-11T23:38:06Z
211,Pre-emptive,"Runolfsson, Keebler and Reichel",6735,2004-06-10T21:13:56Z
212,Multi-tiered,Kutch Group,1041,2011-02-18T04:52:09Z
213,structure,"Zemlak, Becker and Von",8971,2011-11-01T20:41:57Z
214,encryption,"Beer, Kertzmann and Rau",1003,2009-05-29T14:56:30Z
215,extranet,"Zulauf, Collins and Bogisich",1049,2017-08-18T06:21:41Z
216,Enterprise-wide,"Bartell, DuBuque and Mitchell",2135,2018-04-04T23:33:45Z
217,3rd generation,"Bins, Koepp and Sipes",5531,2000-04-25T00:05:01Z
218,Progressive,Swaniawski-Grimes,7487,2008-05-03T16:11:42Z
219,implementation,Yundt Inc,7833,2004-02-20T21:09:10Z
220,open architecture,Weber Inc,453,2018-12-15T14:30:11Z
221,maximized,Feil and Sons,5265,2003-02-23T21:09:10Z
222,user-facing,Bayer-Daniel,5782,2000-05-01T15:30:43Z
223,Profit-focused,Lueilwitz and Sons,4217,1999-05-03T14:09:57Z
224,projection,Gibson and Sons,4925,2020-06-08T11:23:58Z
225,Self-enabling,Hilll Inc,7365,2005-09-02T14:54:05Z
226,coherent,Corkery-Cormier,3939,2007-03-06T07:05:24Z
227,conglomeration,Jaskolski Group,8339,2019-02-15T06:31:10Z
228,Assimilated,Parker and Sons,3495,2013-04-15T07:10:49Z
229,matrices,Prosacco-Veum,4532,2019-01-22T23:30:11Z
230,Cloned,Paucek-Renner,5207,2006-08-14T02:59:40Z
231,zero defect,Windler-Zieme,8797,2010-02-11T21:06:28Z
232,Cloned,Conn-Kihn,3742,2017-03-19T12:44:42Z
233,zero administration,Adams Group,4597,2011-09-06T14:47:55Z
234,infrastructure,"Ferry, Langworth and Dach",1927,2004-09-01T14:33:37Z
235,eco-centric,"Brown, Emmerich and Jacobson",8451,2016-08-05T05:26:00Z
236,methodology,Gibson Inc,5875,2012-08-19T16:38:40Z
237,groupware,Feil-Abbott,8813,2007-01-11T06:01:46Z
238,hierarchy,Feil Inc,6135,2004-09-08T08:12:43Z
239,hub,Reilly-Jast,7435,2018-12-13T08:05:45Z
240,Networked,Kerluke-Bogisich,5599,2010-09-03T12:15:33Z
241,actuating,DuBuque LLC,6177,2003-10-31T17:52:37Z
242,Centralized,"Sipes, Mohr and Hilll",7677,2009-04-14T05:25:05Z
243,Vision-oriented,Heaney and Sons,5231,2010-04-05T20:27:06Z
244,optimal,"Lueilwitz, Keeling and Hayes",8692,2014-06-16T05:25:13Z
245,flexibility,Mertz-Effertz,9323,2011-11-13T18:32:21Z
246,Public-key,Blick-Kshlerin,8792,2005-04-02T14:10:33Z
247,product,"Schulist, Fay and Abernathy",2463,2003-01-09T17:05:23Z
248,productivity,Batz-Gusikowski,5138,2020-07-17T01:42:24Z
249,reciprocal,Marquardt LLC,7043,2001-05-07T16:05:59Z
250,transitional,Fritsch Inc,2561,2003-01-28T10:23:44Z
251,projection,MacGyver Group,9652,2012-09-20T19:31:53Z
252,Multi-layered,Gusikowski-Blanda,7978,2012-08-08T00:39:17Z
253,paradigm,Beer Group,5244,2012-08-12T01:57:02Z
254,complexity,Hartmann LLC,6123,2002-12-26T14:08:41Z
255,pricing structure,"Glover, Farrell and Flatley",5944,2012-08-02T14:50:45Z
256,actuating,Fritsch and Sons,4292,2005-03-16T03:45:15Z
257,real-time,Effertz and Sons,1649,2005-12-09T14:00:35Z
258,client-server,Bins-Abernathy,7283,2016-01-13T04:56:09Z
259,middleware,"Mann, Goodwin and Morar",1113,2014-12-13T18:20:39Z
260,Object-based,"Rosenbaum, Harvey and Lebsack",7430,2007-09-20T12:07:19Z
261,analyzer,Blick Group,9509,2020-01-31T12:01:13Z
262,dedicated,Quigley and Sons,4855,2009-11-23T16:11:21Z
263,implementation,Abernathy Inc,1429,2009-01-24T19:36:39Z
264,strategy,"Bartoletti, Watsica and Witting",4481,2009-07-25T03:14:46Z
265,installation,"Cartwright, Skiles and Armstrong",7097,2005-05-01T10:36:10Z
266,Function-based,Lynch-Schinner,4689,2008-02-18T03:21:00Z
267,matrices,"Morar, Wilderman and Mueller",6979,2013-04-12T15:23:00Z
268,info-mediaries,Aufderhar Inc,8126,2018-12-31T05:42:01Z
269,Multi-channelled,"Monahan, Lehner and Lockman",1448,2003-06-01T21:45:36Z
270,solution,"Bartoletti, Nicolas and Cole",3113,2011-01-12T16:02:34Z
271,dedicated,"Williamson, Nitzsche and Runolfsson",6598,2016-01-24T08:18:48Z
272,Digitized,"Hauck, Ratke and Thompson",7199,2012-05-22T22:11:48Z
273,Multi-channelled,Kuhlman-Hartmann,9776,2013-08-27T18:40:50Z
274,Compatible,"Hegmann, Wilderman and Braun",490,2019-09-17T21:18:23Z
275,hub,Powlowski-Roberts,18,2012-12-31T10:51:24Z
276,next generation,"Hagenes, Pollich and Sporer",4984,2008-10-20T15:43:14Z
277,toolset,"Blick, Jacobi and Nitzsche",5736,2014-06-25T10:29:58Z
278,secured line,Braun-Lehner,508,2006-10-31T08:09:27Z
279,intranet,"Lowe, Klocko and Langworth",4200,2005-04-17T10:41:01Z
280,parallelism,Bartoletti Group,5197,2012-10-04T00:18:19Z
281,framework,Rodriguez-Effertz,5759,2011-04-01T15:56:29Z
282,matrices,Streich-Gerlach,6271,2003-03-13T04:38:34Z
283,protocol,Hudson-Kessler,365,2018-03-22T21:55:26Z
284,monitoring,Halvorson-Schinner,6353,2020-02-26T19:06:50Z
285,throughput,Pfeffer-Reichel,6031,2007-06-13T17:50:26Z
286,logistical,Nicolas-Gerlach,8494,2013-09-12T14:40:14Z
287,cohesive,Miller-Hessel,4426,2011-08-18T14:14:37Z
288,adapter,Leuschke-Corwin,9203,2017-05-15T14:14:11Z
289,system-worthy,Walker Group,1676,2000-05-05T05:57:39Z
290,utilisation,"Parker, Murazik and Deckow",9176,2002-04-03T11:32:09Z
291,value-added,"Weber, Schmeler and Johnson",8830,2011-04-04T03:59:52Z
292,forecast,Erdman-Wilderman,4075,2000-05-12T02:28:10Z
293,matrix,Bode-Rolfson,7838,2009-08-26T08:14:55Z
294,Ergonomic,Jacobson Group,5594,2011-01-02T00:22:09Z
295,transitional,Leuschke and Sons,9906,2003-01-06T09:52:35Z
296,core,DuBuque-Witting,3358,2000-11-11T13:11:49Z
297,Graphic Interface,"Smith, Pfannerstill and Legros",2125,2006-04-06T02:16:56Z
298,infrastructure,Klein-Hartmann,1323,2019-12-28T04:00:04Z
299,multi-tasking,Weissnat-Ullrich,8194,2002-01-26T06:49:59Z
300,zero administration,Hodkiewicz and Sons,2428,2008-07-05T06:42:03Z
301,Innovative,"Lubowitz, Hartmann and Balistreri",3433,2020-07-14T00:46:47Z
302,Reverse-engineered,Johnson Inc,9127,2011-11-25T04:35:53Z
303,Fundamental,"Weissnat, Stiedemann and Murray",9359,2015-09-01T03:49:02Z
304,zero defect,"Konopelski, Schuster and Blanda",7570,2009-11-14T03:52:05Z
305,Total,Sauer-Schroeder,5053,2018-09-08T23:03:52Z
306,model,Luettgen-Stroman,7697,2017-05-14T20:53:10Z
307,zero administration,Braun LLC,370,2002-12-02T20:57:35Z
308,support,Wunsch-Ortiz,4009,2009-09-10T02:17:04Z
309,discrete,"Smith, Turner and Sanford",367,2011-03-11T00:03:27Z
310,optimal,"Dach, Daugherty and DuBuque",2346,1999-04-15T06:58:33Z
311,matrices,Lehner and Sons,2662,2018-09-06T13:42:13Z
312,support,"Dach, Dickens and Littel",9967,2000-05-08T14:30:17Z
313,moratorium,"Hickle, Keebler and Wisoky",6544,2019-03-31T23:57:24Z
314,orchestration,"Bruen, Murray and Feil",489,2007-04-20T01:17:40Z
315,workforce,"Johns, Crist and Gutmann",5777,2002-03-22T00:27:05Z
316,actuating,"Parker, Huels and Willms",7389,2015-07-10T03:29:21Z
317,methodology,Raynor and Sons,6851,2012-08-16T21:33:51Z
318,parallelism,"Kemmer, Kohler and Howell",6577,2010-09-22T00:30:29Z
319,Switchable,Reichert-Thompson,897,2012-04-18T06:33:19Z
320,success,Rogahn LLC,68,2011-03-20T00:31:34Z
321,zero administration,Waters-Bins,9070,2014-07-29T10:06:08Z
322,process improvement,"Ferry, Hane and Rodriguez",8327,1999-05-11T14:38:03Z
323,Graphical User Interface,"Kihn, Harvey and King",466,2021-02-17T22:02:12Z
324,modular,"Rempel, Thiel and Dietrich",5133,2000-10-24T23:13:53Z
325,product,"Feil, Farrell and Mertz",795,2010-02-27T00:36:36Z
326,intangible,"Hilpert, Paucek and Ankunding",432,2016-11-17T04:32:20Z
327,complexity,Moore-Littel,6436,2010-01-03T09:23:53Z
328,directional,Watsica-Gusikowski,6245,2003-10-23T20:45:39Z
329,bandwidth-monitored,Gleichner-Terry,1039,2010-12-24T06:24:58Z
330,empowering,Stoltenberg and Sons,8683,2015-08-11T08:34:08Z
331,application,Block Group,4520,2010-09-18T02:34:44Z
332,middleware,Douglas Inc,5241,2019-08-18T08:18:18Z
333,implementation,Paucek and Sons,6925,2020-05-30T09:48:54Z
334,Universal,"Mueller, Pagac and Gleichner",4218,2014-03-27T19:53:04Z
335,zero administration,Mohr LLC,3805,2014-10-20T07:14:50Z
336,initiative,Wyman LLC,3248,2001-12-30T06:50:22Z
337,Pre-emptive,Nikolaus-Crona,9040,2017-04-06T19:13:05Z
338,homogeneous,Lubowitz and Sons,1277,2003-03-24T12:27:09Z
339,Virtual,Huels-Walter,8424,2002-10-11T01:56:24Z
340,empowering,Hegmann-Hagenes,9916,2007-03-17T05:59:17Z
341,analyzing,Lynch Group,747,1999-05-05T12:12:27Z
342,internet solution,"O'Connell, Breitenberg and Cruickshank",481,2013-05-09T01:38:57Z
343,Progressive,"Bruen, Stark and Macejkovic",5278,2017-03-10T06:46:40Z
344,concept,"Medhurst, Ankunding and Purdy",6395,1999-09-02T13:05:51Z
345,definition,Trantow-Kilback,7007,2015-04-20T05:10:17Z
346,orchestration,Bosco Group,782,2014-09-17T00:03:27Z
347,Sharable,Bradtke and Sons,9059,2006-12-13T10:43:53Z
348,Customer-focused,"Altenwerth, Frami and Stamm",3937,2016-02-08T12:27:00Z
349,frame,Skiles-Hauck,7409,2002-01-14T00:24:38Z
350,core,Quigley Group,6312,2004-11-21T09:19:17Z
351,systematic,"Heller, Ondricka and Predovic",2845,2004-02-07T11:50:13Z
352,implementation,"Kulas, Torphy and Schultz",5264,2019-03-16T05:01:45Z
353,Triple-buffered,Wilkinson Inc,2096,2000-03-03T11:00:38Z
354,holistic,"Schultz, Wilderman and Hessel",57,2002-04-21T02:34:52Z
355,content-based,Bergstrom and Sons,5950,2019-11-17T16:41:17Z
356,Persistent,"Pacocha, Kuphal and Jones",6313,2004-05-21T04:25:33Z
357,Open-source,"Yost, Walter and Koelpin",1086,2014-05-28T09:09:25Z
358,didactic,"Hammes, Ankunding and Hackett",6546,2000-03-17T14:26:38Z
359,Streamlined,Effertz Group,8494,2002-01-30T01:51:15Z
360,website,Rutherford Group,849,2001-07-18T07:28:26Z
361,adapter,"Botsford, Mohr and Ortiz",6285,2014-01-01T22:02:26Z
362,support,Effertz Inc,8528,2008-03-03T12:05:21Z
363,tangible,Senger-Brakus,8502,2002-06-11T12:11:58Z
364,Team-oriented,Feeney-Bartell,7244,2012-07-17T09:45:47Z
365,needs-based,"Ferry, Durgan and Kshlerin",8702,2013-05-06T19:04:27Z
366,Team-oriented,Heaney and Sons,878,2010-02-21T22:11:28Z
367,Proactive,"Hagenes, Strosin and Schuppe",3829,2020-11-25T00:42:15Z
368,homogeneous,Mayer-Friesen,1891,2009-05-12T11:48:44Z
369,web-enabled,Olson-Ebert,7835,2005-09-10T12:55:34Z
370,moderator,Baumbach-Weissnat,1057,2002-11-07T13:21:40Z
371,product,Stiedemann LLC,999,2019-08-29T19:55:46Z
372,Exclusive,Koss-Maggio,1817,2010-11-24T22:36:05Z
373,Reduced,Herzog LLC,1060,2014-01-29T00:08:52Z
374,utilisation,Hodkiewicz Group,800,2003-07-10T05:36:51Z
375,5th generation,Sanford LLC,4751,2002-02-28T07:39:39Z
376,help-desk,Romaguera-Crooks,7262,2010-07-31T16:01:19Z
377,Organized,Crist and Sons,5202,2014-10-23T16:28:26Z
378,empowering,Hamill-Effertz,2074,2011-10-18T09:48:11Z
379,Cross-group,Block-Kuphal,8836,2000-06-04T17:30:47Z
380,methodical,"Romaguera, Yost and Littel",8038,2017-01-03T10:10:49Z
381,Expanded,Smitham Inc,2348,2019-06-09T04:40:52Z
382,time-frame,"Waelchi, Lockman and Stark",6408,2016-12-16T02:25:26Z
